Wavelength (nm), R
954.46, 31.695
955.15, 31.679
955.84, 31.687
956.53, 31.692
957.22, 31.695
957.91, 31.69
958.6, 31.686
959.3, 31.679
959.99, 31.659
960.68, 31.652
961.37, 31.662
962.06, 31.666
962.75, 31.663
963.44, 31.643
964.13, 31.616
964.82, 31.619
965.51, 31.623
966.2, 31.626
966.89, 31.632
967.58, 31.63
968.27, 31.628
968.96, 31.624
969.65, 31.624
970.34, 31.627
971.03, 31.619
971.72, 31.63
972.41, 31.615
973.1, 31.599
973.78, 31.592
974.47, 31.58
975.16, 31.576
975.85, 31.555
976.54, 31.54
977.23, 31.518
977.92, 31.505
978.61, 31.496
979.3, 31.501
979.98, 31.508
980.67, 31.516
981.36, 31.51
982.05, 31.495
982.74, 31.484
983.43, 31.506
984.11, 31.52
984.8, 31.526
985.49, 31.521
986.18, 31.514
986.87, 31.51
987.55, 31.495
988.24, 31.475
988.93, 31.468
989.62, 31.479
990.3, 31.513
990.99, 31.532
991.68, 31.529
992.37, 31.531
993.05, 31.532
993.74, 31.539
994.43, 31.556
995.11, 31.562
995.8, 31.562
996.49, 31.563
997.17, 31.571
997.86, 31.564
998.55, 31.547
999.23, 31.536
999.92, 31.531
1000.61, 31.536
1001.29, 31.54
1001.98, 31.544
1002.66, 31.53
1003.35, 31.507
1004.04, 31.506
1004.72, 31.518
1005.41, 31.506
1006.09, 31.504
1006.78, 31.497
1007.47, 31.479
1008.15, 31.488
1008.84, 31.477
1009.52, 31.455
1010.21, 31.453
1010.89, 31.472
1011.58, 31.48
1012.26, 31.489
1012.95, 31.479
1013.63, 31.484
1014.32, 31.506
1015, 31.513
1015.69, 31.523
1016.37, 31.551
1017.06, 31.539
1017.74, 31.568
1018.42, 31.578
1019.11, 31.592
1019.79, 31.57
1020.48, 31.578
1021.16, 31.583
1021.84, 31.602
1022.53, 31.585
1023.21, 31.554
1023.9, 31.556
1024.58, 31.559
1025.26, 31.529
1025.95, 31.522
1026.63, 31.514
1027.31, 31.498
1028, 31.471
1028.68, 31.472
1029.36, 31.494
1030.05, 31.478
1030.73, 31.475
1031.41, 31.492
1032.1, 31.508
1032.78, 31.488
1033.46, 31.507
1034.14, 31.531
1034.83, 31.562
1035.51, 31.573
1036.19, 31.641
1036.87, 31.621
1037.56, 31.625
1038.24, 31.613
1038.92, 31.626
1039.6, 31.604
1040.28, 31.617
1040.97, 31.62
1041.65, 31.666
1042.33, 31.625
1043.01, 31.612
1043.69, 31.601
1044.37, 31.56
1045.06, 31.53
1045.74, 31.543
1046.42, 31.548
1047.1, 31.545
1047.78, 31.531
1048.46, 31.533
1049.14, 31.515
1049.82, 31.505
1050.51, 31.466
