sample1,,
Wavelength (nm),%T,
924,76.55664825,
923,76.43055725,
922,76.56926727,
921,76.56549072,
920,76.50409698,
919,76.59107971,
918,76.69259644,
917,76.61807251,
916,76.60957336,
915,76.71323395,
914,76.64281464,
913,76.66123199,
912,76.77198029,
911,76.85346222,
910,76.83712006,
909,76.87001038,
908,76.89356232,
907,76.83182526,
906,76.914505,
905,76.90997314,
904,76.93868256,
903,77.04795837,
902,77.04507446,
901,77.03896332,
900,77.197052,
899,77.06732941,
898,77.17731476,
897,77.23363495,
896,77.17092896,
895,77.2119751,
894,77.22880554,
893,77.21432495,
892,77.34983826,
891,77.37714386,
890,77.29994202,
889,77.41804504,
888,77.34059906,
887,77.50912476,
886,77.43039703,
885,77.45275879,
884,77.43275452,
883,77.51232147,
882,77.62394714,
881,77.48913574,
880,77.61585999,
879,77.50757599,
878,77.65177917,
877,77.64639282,
876,77.59343719,
875,77.70661926,
874,77.65542603,
873,77.61131287,
872,77.6219635,
871,77.69013214,
870,77.60970306,
869,77.65026855,
868,77.58657074,
867,77.59938812,
866,77.5957489,
865,77.61624146,
864,77.53886414,
863,77.4474411,
862,77.39263916,
861,77.38056183,
860,77.41485596,
859,77.4148941,
858,77.28733063,
857,77.24617767,
856,77.15641022,
855,77.19612122,
854,77.03708649,
853,76.9916153,
852,76.90106964,
851,76.94920349,
850,76.79737091,
849,76.7411499,
848,76.65151215,
847,76.57144928,
846,76.504776,
845,76.29759979,
844,76.23462677,
843,76.13586426,
842,76.10128784,
841,76.03975677,
840,75.89060211,
839,75.76675415,
838,75.61780548,
837,75.47246552,
836,75.42333984,
835,75.32061768,
834,75.18140411,
833,75.02404022,
832,74.87718201,
831,74.74835968,
830,74.66410828,
829,74.55937958,
828,74.3710022,
827,74.24958038,
826,74.08081818,
825,73.9574585,
824,73.73715973,
823,73.66544342,
822,73.5318222,
821,73.35297394,
820,73.26081085,
819,73.11530304,
818,72.97244263,
817,72.800354,
816,72.73903656,
815,72.49663544,
814,72.4397049,
813,72.30979156,
812,72.14459991,
811,71.92656708,
810,71.89538574,
809,71.76680756,
808,71.58322906,
807,71.56316376,
806,71.28412628,
805,71.25225067,
804,71.13900757,
803,70.95500946,
802,70.81417084,
801,70.84519958,
800,70.56947327,
799,69.27307892,
798,69.14655304,
797,69.06663513,
796,68.96074677,
795,68.87342072,
794,68.82377625,
793,68.76238251,
792,68.67453766,
791,68.61701965,
790,68.61341858,
789,68.56228638,
788,68.55883789,
787,68.51222229,
786,68.48614502,
785,68.46659088,
784,68.47696686,
