Transmission thin film,
Wavelength (nm),%T
1455,44.98950958
1454,44.93631744
1453,44.70675278
1452,44.62071228
1451,44.51981354
1450,44.44513702
1449,44.29980087
1448,44.24755096
1447,44.09458923
1446,44.0896225
1445,43.92870712
1444,43.93191528
1443,43.83712769
1442,43.7787323
1441,43.64471436
1440,43.65251923
1439,43.60838699
1438,43.60892868
1437,43.59388733
1436,43.59891891
1435,43.55243683
1434,43.57380676
1433,43.62562561
1432,43.55474854
1431,43.62620544
1430,43.61281586
1429,43.6086731
1428,43.65751266
1427,43.74218369
1426,43.82065582
1425,43.80377197
1424,43.81665421
1423,43.96868134
1422,44.03448486
1421,44.19264984
1420,44.26646042
1419,44.36630249
1418,44.45311356
1417,44.66610336
1416,44.76694107
1415,44.86643982
1414,44.98587418
1413,45.19365692
1412,45.35235977
1411,45.60459137
1410,45.76333618
1409,46.00175858
1408,46.13677597
1407,46.44712067
1406,46.65682983
1405,46.96934509
1404,47.15804672
1403,47.46409225
1402,47.7146225
1401,47.93597412
1400,48.22021484
1399,48.64710999
1398,48.97890091
1397,49.26691818
1396,49.61816788
1395,49.96105957
1394,50.34997559
1393,50.76455307
1392,51.14587021
1391,51.6194458
1390,51.94758224
1389,52.44775391
1388,52.90895844
1387,53.30411911
1386,53.75760651
1385,54.26937485
1384,54.67753983
1383,55.33031082
1382,55.75450516
1381,56.30669022
1380,56.81971359
1379,57.25899506
1378,57.93894577
1377,58.50322723
1376,59.13269043
1375,59.77901077
1374,60.23955536
1373,60.93802643
1372,61.45385361
1371,62.17984009
1370,62.7781105
1369,63.41232681
1368,64.05747223
1367,64.70886993
1366,65.32156372
1365,65.98727417
1364,66.77162933
1363,67.431633
1362,68.10179138
1361,68.7011261
1360,69.38144684
1359,70.03155518
1358,70.63827515
1357,71.33571625
1356,72.04251099
1355,72.60025787
1354,73.28956604
1353,73.81797791
1352,74.44166565
1351,75.05937958
1350,75.62937164
1349,76.21144104
1348,76.70922089
1347,77.23114777
1346,77.76846313
1345,78.29106903
1344,78.78201294
1343,79.20735168
1342,79.47582245
1341,79.86865234
1340,80.13573456
1339,80.51183319
1338,80.82535553
1337,81.1301651
1336,81.38628387
1335,81.56639099
1334,81.64074707
1333,81.99377441
1332,81.9725647
1331,82.0198822
1330,82.13869476
1329,82.19947052
