sample2,,
Wavelength (nm),%T,
419,0.03727804124,
418,0.03533631563,
417,0.03347764909,
416,0.03192028403,
415,0.03001476824,
414,0.0287116468,
413,0.02712297998,
412,0.02625416033,
411,0.02432319336,
410,0.0235605929,
409,0.02227693051,
408,0.02156402357,
407,0.02059911005,
406,0.01936287619,
405,0.01861249842,
404,0.01748997904,
403,0.01673543826,
402,0.01600177027,
401,0.01544335112,
400,0.01475303993,
399,0.01408385392,
398,0.01323560718,
397,0.01278442331,
396,0.01220269967,
395,0.01190038305,
394,0.01110607944,
393,0.01054505538,
392,0.0100193955,
391,0.009615740739,
390,0.00902260188,
389,0.008753900416,
388,0.00823455397,
387,0.008075712249,
386,0.007378971204,
385,0.006953659002,
384,0.006708709523,
383,0.006519357674,
382,0.006178163923,
381,0.005705658812,
380,0.005558833946,
379,0.005206400063,
378,0.004803352989,
377,0.004530957434,
376,0.004290203098,
375,0.004717748612,
374,0.00390470773,
373,0.003674472217,
372,0.003729027696,
371,0.003107974771,
370,0.003469584044,
369,0.00308434898,
368,0.002653703559,
367,0.002387279877,
366,0.002516245935,
365,0.002278011991,
364,0.002024912741,
363,0.001750390744,
362,0.001541009056,
361,0.001619599061,
360,0.00133275229,
359,0.001435678685,
358,0.001451035729,
357,0.0009121947223,
356,0.0009711065213,
355,0.001230741385,
354,0.0009772729827,
